domain,fail_count,last_fail
edu.cwa.gov.tw,9,2026-05-11T13:09:40.320133Z
i.pinimg.com,6,2026-05-11T11:08:56.155454Z
i.ytimg.com,25,2026-05-11T11:08:53.484156Z
ichef.bbci.co.uk,9,2026-05-11T11:09:01.295021Z
img.magnific.com,1,2026-05-11T11:08:49.961237Z
img.tusij.com,1,2026-05-11T11:04:54.570082Z
img1.doubanio.com,1,2026-05-11T11:08:58.128062Z
k.sinaimg.cn,2,2026-05-10T14:38:21.888270Z
lookaside.fbsbx.com,1,2026-05-11T11:08:50.880351Z
media.istockphoto.com,6,2026-05-10T13:23:25.601617Z
nm.cma.gov.cn,1,2026-05-11T13:41:28.761148Z
p3-pc-sign.douyinpic.com,2,2026-05-10T13:41:08.804706Z
pic.rmb.bdstatic.com,5,2026-05-11T11:02:33.093472Z
static-qn.51miz.com,2,2026-05-10T14:43:30.321163Z
udncollege.udn.com,1,2026-05-11T11:08:53.283582Z
weather.sz.gov.cn,2,2026-05-10T14:40:48.424693Z
www.ahyouth.com,6,2026-05-10T14:40:49.305249Z
www.mem.gov.cn,1,2026-05-11T11:08:54.446226Z
yjj.cq.gov.cn,4,2026-05-11T11:08:53.140442Z
zfwzgl.www.gov.cn,1,2026-05-11T11:08:58.352563Z
