domain,ok,fail,rate,last
yjj.cq.gov.cn,8,0,100%,2026-05-11T11:08:54.314104Z
gdb.beijing.gov.cn,2,0,100%,2026-05-11T11:08:53.955567Z
img.magnific.com,15,0,100%,2026-05-11T11:09:03.278456Z
p1.itc.cn,1,0,100%,2026-05-11T11:08:54.862323Z
static.redocn.com,1,0,100%,2026-05-11T11:08:56.753399Z
img.redocn.com,19,0,100%,2026-05-11T13:09:40.758020Z
cdn-ukwest.onetrust.com,2,0,100%,2026-05-11T11:08:58.440703Z
sghimages.shobserver.com,8,0,100%,2026-05-11T13:09:19.574941Z
img.tusij.com,8,0,100%,2026-05-11T13:09:20.236206Z
imgs.699pic.com,8,0,100%,2026-05-11T13:09:41.135662Z
i0.hdslb.com,12,0,100%,2026-05-11T13:09:42.698928Z
static.ntimg.cn,8,0,100%,2026-05-11T13:09:46.811116Z
pic.rmb.bdstatic.com,13,0,100%,2026-05-11T13:41:29.341709Z
js.119.gov.cn,4,0,100%,2026-05-11T13:33:05.033189Z
imgpai.thepaper.cn,3,0,100%,2026-05-11T13:38:56.206439Z
mmbiz.qpic.cn,2,0,100%,2026-05-11T13:41:33.367895Z
www.mem.gov.cn,6,1,86%,2026-05-11T13:41:29.243557Z
i.ytimg.com,1,1,50%,2026-05-11T11:08:55.728490Z
edu.cwa.gov.tw,0,9,0%,2026-05-11T13:09:40.322808Z
i.pinimg.com,0,6,0%,2026-05-11T11:08:56.157849Z
ichef.bbci.co.uk,0,9,0%,2026-05-11T11:09:01.296771Z
img1.doubanio.com,0,1,0%,2026-05-11T11:08:58.131071Z
zfwzgl.www.gov.cn,0,1,0%,2026-05-11T11:08:58.353256Z
nm.cma.gov.cn,0,1,0%,2026-05-11T13:41:28.761148Z
